cod_provincia,provincia,anio,renta_neta_media_persona
01,Araba/Álava,2015,NA
01,Araba/Álava,2016,NA
01,Araba/Álava,2017,NA
01,Araba/Álava,2018,NA
01,Araba/Álava,2019,NA
01,Araba/Álava,2020,14962
01,Araba/Álava,2021,15539
01,Araba/Álava,2022,16403
01,Araba/Álava,2023,17806
02,Albacete,2015,9150
02,Albacete,2016,9446
02,Albacete,2017,9847
02,Albacete,2018,10351
02,Albacete,2019,10901
02,Albacete,2020,11104
02,Albacete,2021,11652
02,Albacete,2022,12305
02,Albacete,2023,13058
03,Alacant/Alicante,2015,8695
03,Alacant/Alicante,2016,8814
03,Alacant/Alicante,2017,9313
03,Alacant/Alicante,2018,9736
03,Alacant/Alicante,2019,10177
03,Alacant/Alicante,2020,10236
03,Alacant/Alicante,2021,10770
03,Alacant/Alicante,2022,11378
03,Alacant/Alicante,2023,12313
04,Almería,2015,8029
04,Almería,2016,8207
04,Almería,2017,8569
04,Almería,2018,9072
04,Almería,2019,9436
04,Almería,2020,9709
04,Almería,2021,10103
04,Almería,2022,10605
04,Almería,2023,11543
05,Ávila,2015,9745
05,Ávila,2016,9925
05,Ávila,2017,10291
05,Ávila,2018,10822
05,Ávila,2019,11322
05,Ávila,2020,11577
05,Ávila,2021,12123
05,Ávila,2022,12684
05,Ávila,2023,13602
06,Badajoz,2015,8448
06,Badajoz,2016,8643
06,Badajoz,2017,8971
06,Badajoz,2018,9417
06,Badajoz,2019,9895
06,Badajoz,2020,10001
06,Badajoz,2021,10549
06,Badajoz,2022,11158
06,Badajoz,2023,12068
07,Illes Balears,2015,11213
07,Illes Balears,2016,11488
07,Illes Balears,2017,12297
07,Illes Balears,2018,12893
07,Illes Balears,2019,13428
07,Illes Balears,2020,12486
07,Illes Balears,2021,13468
07,Illes Balears,2022,14740
07,Illes Balears,2023,16118
08,Barcelona,2015,12853
08,Barcelona,2016,13256
08,Barcelona,2017,13622
08,Barcelona,2018,14198
08,Barcelona,2019,14656
08,Barcelona,2020,14676
08,Barcelona,2021,15297
08,Barcelona,2022,16105
08,Barcelona,2023,17062
09,Burgos,2015,12093
09,Burgos,2016,12375
09,Burgos,2017,12701
09,Burgos,2018,13316
09,Burgos,2019,13713
09,Burgos,2020,13777
09,Burgos,2021,14357
09,Burgos,2022,15017
09,Burgos,2023,15988
10,Cáceres,2015,9081
10,Cáceres,2016,9247
10,Cáceres,2017,9544
10,Cáceres,2018,10009
10,Cáceres,2019,10537
10,Cáceres,2020,10660
10,Cáceres,2021,11238
10,Cáceres,2022,11786
10,Cáceres,2023,12771
11,Cádiz,2015,8489
11,Cádiz,2016,8696
11,Cádiz,2017,9028
11,Cádiz,2018,9509
11,Cádiz,2019,10055
11,Cádiz,2020,10113
11,Cádiz,2021,10712
11,Cádiz,2022,11396
11,Cádiz,2023,12335
12,Castelló/Castellón,2015,10136
12,Castelló/Castellón,2016,10504
12,Castelló/Castellón,2017,10958
12,Castelló/Castellón,2018,11461
12,Castelló/Castellón,2019,11987
12,Castelló/Castellón,2020,12079
12,Castelló/Castellón,2021,12680
12,Castelló/Castellón,2022,13305
12,Castelló/Castellón,2023,14029
13,Ciudad Real,2015,8786
13,Ciudad Real,2016,9056
13,Ciudad Real,2017,9482
13,Ciudad Real,2018,10001
13,Ciudad Real,2019,10431
13,Ciudad Real,2020,10570
13,Ciudad Real,2021,11051
13,Ciudad Real,2022,11724
13,Ciudad Real,2023,12529
14,Córdoba,2015,8614
14,Córdoba,2016,8892
14,Córdoba,2017,9290
14,Córdoba,2018,9710
14,Córdoba,2019,10182
14,Córdoba,2020,10314
14,Córdoba,2021,10979
14,Córdoba,2022,11569
14,Córdoba,2023,12386
15,A Coruña,2015,11024
15,A Coruña,2016,11383
15,A Coruña,2017,11706
15,A Coruña,2018,12207
15,A Coruña,2019,12764
15,A Coruña,2020,12841
15,A Coruña,2021,13319
15,A Coruña,2022,14294
15,A Coruña,2023,15319
16,Cuenca,2015,9009
16,Cuenca,2016,9224
16,Cuenca,2017,9722
16,Cuenca,2018,10212
16,Cuenca,2019,10680
16,Cuenca,2020,10991
16,Cuenca,2021,11550
16,Cuenca,2022,12022
16,Cuenca,2023,12725
17,Girona,2015,11095
17,Girona,2016,11409
17,Girona,2017,11841
17,Girona,2018,12355
17,Girona,2019,12843
17,Girona,2020,12865
17,Girona,2021,13485
17,Girona,2022,14176
17,Girona,2023,15130
18,Granada,2015,8877
18,Granada,2016,9090
18,Granada,2017,9440
18,Granada,2018,9885
18,Granada,2019,10380
18,Granada,2020,10463
18,Granada,2021,11100
18,Granada,2022,11754
18,Granada,2023,12709
19,Guadalajara,2015,11036
19,Guadalajara,2016,11212
19,Guadalajara,2017,11600
19,Guadalajara,2018,12083
19,Guadalajara,2019,12521
19,Guadalajara,2020,12624
19,Guadalajara,2021,13149
19,Guadalajara,2022,13829
19,Guadalajara,2023,14689
20,Gipuzkoa,2015,NA
20,Gipuzkoa,2016,15090
20,Gipuzkoa,2017,15372
20,Gipuzkoa,2018,15891
20,Gipuzkoa,2019,16463
20,Gipuzkoa,2020,16399
20,Gipuzkoa,2021,16887
20,Gipuzkoa,2022,18325
20,Gipuzkoa,2023,19616
21,Huelva,2015,8401
21,Huelva,2016,8585
21,Huelva,2017,8948
21,Huelva,2018,9416
21,Huelva,2019,9958
21,Huelva,2020,10112
21,Huelva,2021,10609
21,Huelva,2022,11199
21,Huelva,2023,12008
22,Huesca,2015,11297
22,Huesca,2016,11478
22,Huesca,2017,11954
22,Huesca,2018,12513
22,Huesca,2019,12949
22,Huesca,2020,13158
22,Huesca,2021,13679
22,Huesca,2022,14252
22,Huesca,2023,15140
23,Jaén,2015,8318
23,Jaén,2016,8747
23,Jaén,2017,9044
23,Jaén,2018,9417
23,Jaén,2019,9758
23,Jaén,2020,9958
23,Jaén,2021,10689
23,Jaén,2022,11074
23,Jaén,2023,11847
24,León,2015,11138
24,León,2016,11350
24,León,2017,11702
24,León,2018,12222
24,León,2019,12755
24,León,2020,12917
24,León,2021,13400
24,León,2022,14144
24,León,2023,15110
25,Lleida,2015,10914
25,Lleida,2016,11208
25,Lleida,2017,11624
25,Lleida,2018,12124
25,Lleida,2019,12618
25,Lleida,2020,12896
25,Lleida,2021,13334
25,Lleida,2022,13865
25,Lleida,2023,14713
26,La Rioja,2015,11191
26,La Rioja,2016,11536
26,La Rioja,2017,11914
26,La Rioja,2018,12460
26,La Rioja,2019,12930
26,La Rioja,2020,12738
26,La Rioja,2021,13215
26,La Rioja,2022,13864
26,La Rioja,2023,14827
27,Lugo,2015,10283
27,Lugo,2016,10541
27,Lugo,2017,10878
27,Lugo,2018,11335
27,Lugo,2019,11856
27,Lugo,2020,12021
27,Lugo,2021,12560
27,Lugo,2022,13362
27,Lugo,2023,14316
28,Madrid,2015,13779
28,Madrid,2016,14104
28,Madrid,2017,14461
28,Madrid,2018,15153
28,Madrid,2019,15520
28,Madrid,2020,15579
28,Madrid,2021,16146
28,Madrid,2022,17131
28,Madrid,2023,18142
29,Málaga,2015,8688
29,Málaga,2016,8854
29,Málaga,2017,9313
29,Málaga,2018,9832
29,Málaga,2019,10338
29,Málaga,2020,10261
29,Málaga,2021,10929
29,Málaga,2022,11744
29,Málaga,2023,12950
30,Murcia,2015,8908
30,Murcia,2016,9124
30,Murcia,2017,9518
30,Murcia,2018,9948
30,Murcia,2019,10422
30,Murcia,2020,10574
30,Murcia,2021,11023
30,Murcia,2022,11599
30,Murcia,2023,12446
31,Navarra,2015,NA
31,Navarra,2016,NA
31,Navarra,2017,NA
31,Navarra,2018,NA
31,Navarra,2019,NA
31,Navarra,2020,NA
31,Navarra,2021,14718
31,Navarra,2022,15681
31,Navarra,2023,16423
32,Ourense,2015,10189
32,Ourense,2016,10415
32,Ourense,2017,10729
32,Ourense,2018,11230
32,Ourense,2019,11729
32,Ourense,2020,11937
32,Ourense,2021,12365
32,Ourense,2022,13043
32,Ourense,2023,14049
33,Asturias,2015,11959
33,Asturias,2016,12147
33,Asturias,2017,12489
33,Asturias,2018,12923
33,Asturias,2019,13465
33,Asturias,2020,13505
33,Asturias,2021,14057
33,Asturias,2022,14842
33,Asturias,2023,15784
34,Palencia,2015,11392
34,Palencia,2016,11752
34,Palencia,2017,12024
34,Palencia,2018,12525
34,Palencia,2019,13010
34,Palencia,2020,13153
34,Palencia,2021,13624
34,Palencia,2022,14251
34,Palencia,2023,15147
35,Las Palmas,2015,9548
35,Las Palmas,2016,9799
35,Las Palmas,2017,10328
35,Las Palmas,2018,10862
35,Las Palmas,2019,11336
35,Las Palmas,2020,11172
35,Las Palmas,2021,11697
35,Las Palmas,2022,12716
35,Las Palmas,2023,13806
36,Pontevedra,2015,10153
36,Pontevedra,2016,10353
36,Pontevedra,2017,10726
36,Pontevedra,2018,11220
36,Pontevedra,2019,11726
36,Pontevedra,2020,11881
36,Pontevedra,2021,12425
36,Pontevedra,2022,13170
36,Pontevedra,2023,14137
37,Salamanca,2015,10667
37,Salamanca,2016,10926
37,Salamanca,2017,11278
37,Salamanca,2018,11762
37,Salamanca,2019,12240
37,Salamanca,2020,12355
37,Salamanca,2021,12920
37,Salamanca,2022,13610
37,Salamanca,2023,14583
38,Santa Cruz de Tenerife,2015,9073
38,Santa Cruz de Tenerife,2016,9238
38,Santa Cruz de Tenerife,2017,9738
38,Santa Cruz de Tenerife,2018,10233
38,Santa Cruz de Tenerife,2019,10770
38,Santa Cruz de Tenerife,2020,10679
38,Santa Cruz de Tenerife,2021,11198
38,Santa Cruz de Tenerife,2022,12237
38,Santa Cruz de Tenerife,2023,13366
39,Cantabria,2015,11229
39,Cantabria,2016,11503
39,Cantabria,2017,11874
39,Cantabria,2018,12389
39,Cantabria,2019,12852
39,Cantabria,2020,12865
39,Cantabria,2021,13425
39,Cantabria,2022,14211
39,Cantabria,2023,15043
40,Segovia,2015,10730
40,Segovia,2016,11025
40,Segovia,2017,11378
40,Segovia,2018,11922
40,Segovia,2019,12482
40,Segovia,2020,12722
40,Segovia,2021,13324
40,Segovia,2022,13956
40,Segovia,2023,14949
41,Sevilla,2015,9051
41,Sevilla,2016,9272
41,Sevilla,2017,9584
41,Sevilla,2018,10083
41,Sevilla,2019,10604
41,Sevilla,2020,10717
41,Sevilla,2021,11292
41,Sevilla,2022,12013
41,Sevilla,2023,12964
42,Soria,2015,11674
42,Soria,2016,11961
42,Soria,2017,12377
42,Soria,2018,12907
42,Soria,2019,13353
42,Soria,2020,13889
42,Soria,2021,14385
42,Soria,2022,14721
42,Soria,2023,15626
43,Tarragona,2015,10817
43,Tarragona,2016,11119
43,Tarragona,2017,11506
43,Tarragona,2018,12011
43,Tarragona,2019,12432
43,Tarragona,2020,12491
43,Tarragona,2021,13086
43,Tarragona,2022,13673
43,Tarragona,2023,14559
44,Teruel,2015,10911
44,Teruel,2016,11126
44,Teruel,2017,11432
44,Teruel,2018,11991
44,Teruel,2019,12461
44,Teruel,2020,12656
44,Teruel,2021,13134
44,Teruel,2022,13736
44,Teruel,2023,14573
45,Toledo,2015,8845
45,Toledo,2016,9085
45,Toledo,2017,9512
45,Toledo,2018,9955
45,Toledo,2019,10413
45,Toledo,2020,10533
45,Toledo,2021,10998
45,Toledo,2022,11614
45,Toledo,2023,12422
46,València/Valencia,2015,10377
46,València/Valencia,2016,10641
46,València/Valencia,2017,11041
46,València/Valencia,2018,11634
46,València/Valencia,2019,12145
46,València/Valencia,2020,12333
46,València/Valencia,2021,12823
46,València/Valencia,2022,13548
46,València/Valencia,2023,14435
47,Valladolid,2015,11682
47,Valladolid,2016,12050
47,Valladolid,2017,12396
47,Valladolid,2018,12905
47,Valladolid,2019,13344
47,Valladolid,2020,13490
47,Valladolid,2021,13987
47,Valladolid,2022,14658
47,Valladolid,2023,15590
48,Bizkaia,2015,13949
48,Bizkaia,2016,14216
48,Bizkaia,2017,14605
48,Bizkaia,2018,15047
48,Bizkaia,2019,15547
48,Bizkaia,2020,15555
48,Bizkaia,2021,16192
48,Bizkaia,2022,17225
48,Bizkaia,2023,18738
49,Zamora,2015,9859
49,Zamora,2016,10102
49,Zamora,2017,10431
49,Zamora,2018,10971
49,Zamora,2019,11520
49,Zamora,2020,11737
49,Zamora,2021,12292
49,Zamora,2022,12913
49,Zamora,2023,13897
50,Zaragoza,2015,12020
50,Zaragoza,2016,12008
50,Zaragoza,2017,12592
50,Zaragoza,2018,13063
50,Zaragoza,2019,13516
50,Zaragoza,2020,13637
50,Zaragoza,2021,14087
50,Zaragoza,2022,14750
50,Zaragoza,2023,15650
51,Ceuta,2015,10696
51,Ceuta,2016,10696
51,Ceuta,2017,10767
51,Ceuta,2018,11448
51,Ceuta,2019,12038
51,Ceuta,2020,12358
51,Ceuta,2021,13030
51,Ceuta,2022,13673
51,Ceuta,2023,14625
52,Melilla,2015,9961
52,Melilla,2016,10176
52,Melilla,2017,10314
52,Melilla,2018,10925
52,Melilla,2019,11463
52,Melilla,2020,11665
52,Melilla,2021,12506
52,Melilla,2022,13140
52,Melilla,2023,13995
